batch,timestamp,atlases,templates,top_n,subject,label,k,se,sn,j,volume
batch_1,2013-12-27.02-54-08-node08_16,9,19,0,16,2,0.898332191,0.8474137931,0.9999743824,0.8154292825,4114
batch_1,2013-12-27.02-54-08-node08_16,9,1,0,16,1,0.8875154512,0.8747563353,0.9999442649,0.7977777778,3986
batch_1,2013-12-27.02-54-08-node08_16,9,1,0,16,2,0.8621115225,0.8280172414,0.9999393342,0.7576414908,4273
batch_1,2013-12-27.02-54-08-node08_16,9,3,0,16,1,0.862278481,0.8299220273,0.9999451093,0.7578994215,3796
batch_1,2013-12-27.02-54-08-node08_16,9,3,0,16,2,0.8831646734,0.8275862069,0.9999695967,0.7907742998,4056
batch_1,2013-12-27.02-54-08-node08_16,9,5,0,16,1,0.8770846201,0.8650097466,0.9999379313,0.7810781078,3991
batch_1,2013-12-27.02-54-08-node08_16,9,5,0,16,2,0.8934904473,0.8415948276,0.9999724118,0.8074855252,4101
batch_1,2013-12-27.02-54-08-node08_16,9,7,0,16,1,0.8823746767,0.8728070175,0.9999390573,0.7895084858,4015
batch_1,2013-12-27.02-54-08-node08_16,9,7,0,16,2,0.8957669549,0.8482758621,0.9999701597,0.8112118714,4148
batch_1,2013-12-27.02-54-08-node08_16,9,9,0,16,1,0.8825193751,0.8740253411,0.9999383536,0.7897402026,4025
batch_1,2013-12-27.02-54-08-node08_16,9,9,0,16,2,0.8960638905,0.8463362069,0.9999721303,0.8116990492,4125
batch_1,2013-12-27.03-00-58-node17_04,1,11,0,04,1,0.7513125173,0.760772244,0.9998670056,0.601681788,3664
batch_1,2013-12-27.03-00-58-node17_04,1,11,0,04,2,0.8631930185,0.8785266458,0.9999154154,0.7593136148,3964
batch_1,2013-12-27.03-00-58-node17_04,1,13,0,04,1,0.7496903812,0.7621712367,0.999863628,0.599603786,3693
batch_1,2013-12-27.03-00-58-node17_04,1,13,0,04,2,0.8627954779,0.8772204807,0.9999158376,0.7586985992,3956
batch_1,2013-12-27.03-00-58-node17_04,1,15,0,04,1,0.7527950311,0.7630106323,0.9998671463,0.6035856574,3671
batch_1,2013-12-27.03-00-58-node17_04,1,15,0,04,2,0.8641625933,0.8774817137,0.9999173857,0.760815402,3946
batch_1,2013-12-27.03-00-58-node17_04,1,17,0,04,1,0.7584106327,0.7663682149,0.9998719313,0.610838537,3649
