hemisphere,kappa,se,sn,jaccard,subject,num_atlases
1,0.9029831388,0.917259552,0.9999389192,0.8231260345,46,5
101,0.8727831308,0.9097525473,0.99991542,0.7742814668,46,5
1,0.9033543673,0.8888888889,0.999948906,0.8237431859,57,5
101,0.9082763499,0.9040131425,0.9999480638,0.8319654428,57,5
1,0.8971144749,0.9310260187,0.9999171014,0.8134248338,59,5
101,0.9004296184,0.9327225131,0.9999252672,0.8188922087,59,5
1,0.9010947168,0.8836818521,0.9999414396,0.81999307,67,5
101,0.8714907078,0.8840754112,0.9998983693,0.7722494744,67,5
1,0.8833962696,0.865470852,0.9999410248,0.7911457266,64,5
101,0.8632972323,0.8536411233,0.9999266707,0.75947491,64,5
1,0.8995185263,0.9111535199,0.9999238502,0.817386342,70,5
101,0.8944178628,0.9117710817,0.9999175173,0.8090017311,70,5
1,0.8955463421,0.9192751236,0.9999314615,0.8108500848,79,5
101,0.9063092337,0.9250967385,0.9999407503,0.828670463,79,5
1,0.8738850347,0.9139673491,0.9999034521,0.7760176018,77,5
101,0.8436781609,0.8745035743,0.9998944459,0.7296222664,77,5
1,0.7770444763,0.8191167574,0.9998654626,0.6353824496,03,6
101,0.7715707965,0.7784598214,0.9998792494,0.6280954525,03,6
1,0,0,0.999625449,0,76,5
101,0,0,0.999619197,0,76,5
1,0.8572071059,0.9026758229,0.9998790978,0.7500983865,09,6
101,0.8065306122,0.8972496108,0.9998222449,0.6757865937,09,6
1,0.9186663299,0.9344809866,0.9999452517,0.849567858,11,6
101,0.9105068638,0.9251609442,0.9999438456,0.8357160165,11,6
1,0.8964545668,0.9492789657,0.9999045758,0.8123404255,13,6
101,0.8702960361,0.9649513213,0.9998722124,0.7703753054,13,6
1,0.8604935255,0.9044684129,0.9998916293,0.7551457976,14,6
101,0.8629737609,0.9101604278,0.9998951501,0.758974359,14,6
1,0.8977328733,0.950926651,0.999909645,0.8144422088,15,6
101,0.9168132697,0.9557243909,0.9999306154,0.8464037123,15,6
1,0.8662248913,0.9322487185,0.9998609361,0.7640182648,22,6
101,0.8648306426,0.8922273024,0.9998893666,0.7618516453,22,6
1,0.9014606497,0.9457913998,0.9999061193,0.8205993253,23,6
101,0.9168387868,0.9476404494,0.9999251199,0.84644721,23,6
1,0.842429469,0.8693109586,0.9998923324,0.7277564921,28,6
101,0.7646912351,0.925,0.9997690624,0.6190284217,28,6
1,0.8722684703,0.9429133858,0.9998903679,0.7734717416,31,6
101,0.8593391773,0.9434409239,0.9998800973,0.7533695909,31,6
1,0.8976145805,0.9441781787,0.9999203444,0.8142475079,46,6
101,0.8884495905,0.9374255066,0.9999183763,0.7992886179,46,6
1,0.8870147874,0.9340632603,0.999900493,0.7969690679,40,6
101,0.8747975006,0.8854532677,0.9999165361,0.7774578363,40,6
1,0.9270797672,0.9402777778,0.9999463744,0.8640714742,57,6
101,0.9085638362,0.9268112371,0.9999352576,0.8324479858,57,6
1,0.8562323814,0.9248080487,0.9998748832,0.7486069438,59,6
101,0.8366608602,0.9266844761,0.9998632097,0.7191891269,59,6
1,0.8918269231,0.9180895818,0.9999199166,0.8047722343,64,6
101,0.8565552699,0.9074074074,0.9998907883,0.7491007194,64,6
1,0.8788701793,0.9262651706,0.9998883848,0.7839147287,70,6
101,0.8945231039,0.9435054411,0.9998990826,0.8091739476,70,6
1,0.8787414445,0.9269396552,0.999880639,0.7837099125,67,6
101,0.8801559614,0.9291594454,0.9998816247,0.7859629833,67,6
1,0.8203328133,0.9068697902,0.9998511046,0.6953934318,77,6
101,0.8377085219,0.8801630435,0.9998854402,0.7207387628,77,6
1,0.8658875904,0.928124068,0.9998982519,0.7634936212,79,6
101,0.9099449738,0.9204452892,0.9999468014,0.8347697611,79,6
1,0.8330058939,0.8573079145,0.9999020501,0.7138047138,03,7
101,0.7656730384,0.7471954083,0.9998896599,0.6203162227,03,7
1,0.8672859987,0.8970487303,0.9998944371,0.7656707674,09,7
