label,k,se,sp,j,atlas,template
101,0.7602760276,0.689336235,0.9999790386,0.6132623427,002_S_0295,005_S_0814
1,0.8388904455,0.7962765957,0.9999823482,0.7224903475,002_S_0295,005_S_0610
101,0.8290477536,0.7981501632,0.999978487,0.708011583,002_S_0295,005_S_0610
1,0.6835972513,0.6085106383,0.9999703046,0.5192918747,002_S_0295,005_S_0572
101,0.5668316832,0.4983677911,0.9999560546,0.3955094991,002_S_0295,005_S_0572
1,0.8062773347,0.8335106383,0.999959548,0.6754310345,002_S_0295,005_S_0602
101,0.801414856,0.8628944505,0.9999509062,0.6686340641,002_S_0295,005_S_0602
1,0.8302573434,0.8494680851,0.9999659836,0.7097777778,002_S_0295,005_S_0546
101,0.7935729847,0.7927094668,0.9999653401,0.6577878104,002_S_0295,005_S_0546
1,0.7727514635,0.7723404255,0.9999608351,0.629661752,002_S_0295,005_S_0448
101,0.7680355161,0.752992383,0.9999648805,0.6234234234,002_S_0295,005_S_0448
1,0.8285946385,0.8138297872,0.999973982,0.7073509015,002_S_0295,005_S_0553
101,0.8077131993,0.809031556,0.9999671789,0.6774487472,002_S_0295,005_S_0553
1,0.8221410509,0.7781914894,0.9999801418,0.6979961832,002_S_0295,005_S_0222
101,0.8487804878,0.8046789989,0.9999845548,0.7372881356,002_S_0295,005_S_0222
1,0.8120675339,0.7803191489,0.9999755449,0.6835973905,002_S_0295,005_S_0324
101,0.8020496224,0.809031556,0.9999647885,0.669518235,002_S_0295,005_S_0324
1,0.8169243287,0.8010638298,0.9999723272,0.6905089409,002_S_0295,002_S_1155
101,0.8221948212,0.9069640914,0.9999494352,0.6980737018,002_S_0295,002_S_1155
1,0.8324795082,0.8643617021,0.9999633174,0.7130320316,002_S_0295,003_S_0907
101,0.867965368,0.872687704,0.9999766483,0.7667304015,002_S_0295,003_S_0907
1,0.8140703518,0.8617021277,0.9999558706,0.686440678,002_S_0295,003_S_0981
101,0.8039832285,0.8346028292,0.9999591804,0.6722173532,002_S_0295,003_S_0981
1,0.8288384513,0.8255319149,0.9999712239,0.7077063383,002_S_0295,002_S_1018
101,0.8444918645,0.8612622416,0.999969845,0.7308402585,002_S_0295,002_S_1018
1,0.8188814777,0.8489361702,0.9999612029,0.6933101651,002_S_0295,002_S_0954
101,0.8378722321,0.8955386289,0.9999590885,0.7209811651,002_S_0295,002_S_0954
1,0.6428988895,0.585106383,0.9999593642,0.4737295435,002_S_0295,002_S_0938
101,0.6386881601,0.6251360174,0.9999438271,0.4691710902,002_S_0295,002_S_0938
1,0.8306104901,0.7707446809,0.9999852902,0.7102941176,002_S_0295,002_S_0782
101,0.8319496135,0.7905331882,0.9999814289,0.712254902,002_S_0295,002_S_0782
1,0.8200212993,0.8191489362,0.9999691094,0.6949458484,002_S_0295,002_S_0729
101,0.7809740815,0.7459194777,0.9999722353,0.6406542056,002_S_0295,002_S_0729
1,0.8421337666,0.8271276596,0.9999762804,0.7273152479,002_S_0295,002_S_0685
101,0.8313097391,0.8754080522,0.9999610192,0.7113174182,002_S_0295,002_S_0685
1,0.8002319513,0.7340425532,0.999982624,0.6669888835,002_S_0295,002_S_0619
101,0.7589653145,0.7023939064,0.9999749015,0.6115585031,002_S_0295,002_S_0619
1,1,1,1,1,002_S_0295,002_S_0295
101,1,1,1,1,002_S_0295,002_S_0295
1,0.6791900464,0.6164747564,0.9999587192,0.5142223864,002_S_0685,941_S_1202
101,0.435773284,0.3415178571,0.9999534787,0.2785870357,002_S_0685,941_S_1202
1,0.853421859,0.8888297872,0.9999664432,0.7443207127,002_S_0295,002_S_0413
